"site","parameter","datetime","date","year","month","day","hour","aqi","aqi_categ","unit","duration","qc_name"
"Hanoi","PM2.5 - Principal",2015-12-09 14:00:00,2015-12-09,2015,12,9,14,90,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-09 15:00:00,2015-12-09,2015,12,9,15,89.8,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-09 16:00:00,2015-12-09,2015,12,9,16,85.6,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-09 17:00:00,2015-12-09,2015,12,9,17,77.3,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-09 18:00:00,2015-12-09,2015,12,9,18,85.1,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-09 19:00:00,2015-12-09,2015,12,9,19,89.8,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-09 20:00:00,2015-12-09,2015,12,9,20,110.6,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-09 21:00:00,2015-12-09,2015,12,9,21,100.4,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-09 22:00:00,2015-12-09,2015,12,9,22,86.5,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-09 23:00:00,2015-12-09,2015,12,9,23,76.2,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 00:00:00,2015-12-10,2015,12,10,0,83.4,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 01:00:00,2015-12-10,2015,12,10,1,120.5,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 02:00:00,2015-12-10,2015,12,10,2,108.1,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 03:00:00,2015-12-10,2015,12,10,3,62.4,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 04:00:00,2015-12-10,2015,12,10,4,49.6,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 05:00:00,2015-12-10,2015,12,10,5,42.2,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 06:00:00,2015-12-10,2015,12,10,6,47.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 07:00:00,2015-12-10,2015,12,10,7,43.6,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 08:00:00,2015-12-10,2015,12,10,8,36,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 09:00:00,2015-12-10,2015,12,10,9,36.1,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 10:00:00,2015-12-10,2015,12,10,10,39.3,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 11:00:00,2015-12-10,2015,12,10,11,46.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 12:00:00,2015-12-10,2015,12,10,12,42,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 13:00:00,2015-12-10,2015,12,10,13,42.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 14:00:00,2015-12-10,2015,12,10,14,40.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 15:00:00,2015-12-10,2015,12,10,15,37.1,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 16:00:00,2015-12-10,2015,12,10,16,40.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 17:00:00,2015-12-10,2015,12,10,17,39.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 18:00:00,2015-12-10,2015,12,10,18,38.2,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 19:00:00,2015-12-10,2015,12,10,19,45,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 20:00:00,2015-12-10,2015,12,10,20,45.5,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 21:00:00,2015-12-10,2015,12,10,21,59,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 22:00:00,2015-12-10,2015,12,10,22,59.8,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-10 23:00:00,2015-12-10,2015,12,10,23,56,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 00:00:00,2015-12-11,2015,12,11,0,58,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 01:00:00,2015-12-11,2015,12,11,1,60.3,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 02:00:00,2015-12-11,2015,12,11,2,68.1,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 03:00:00,2015-12-11,2015,12,11,3,70.2,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 04:00:00,2015-12-11,2015,12,11,4,53,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 05:00:00,2015-12-11,2015,12,11,5,53.3,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 06:00:00,2015-12-11,2015,12,11,6,38.1,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 07:00:00,2015-12-11,2015,12,11,7,42.5,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 08:00:00,2015-12-11,2015,12,11,8,56.9,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 09:00:00,2015-12-11,2015,12,11,9,55.8,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 10:00:00,2015-12-11,2015,12,11,10,51.1,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 11:00:00,2015-12-11,2015,12,11,11,54.1,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 12:00:00,2015-12-11,2015,12,11,12,58.7,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 13:00:00,2015-12-11,2015,12,11,13,53.3,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 14:00:00,2015-12-11,2015,12,11,14,61.9,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 15:00:00,2015-12-11,2015,12,11,15,61,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 16:00:00,2015-12-11,2015,12,11,16,63.3,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 17:00:00,2015-12-11,2015,12,11,17,71.1,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 18:00:00,2015-12-11,2015,12,11,18,76,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 19:00:00,2015-12-11,2015,12,11,19,78.1,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 20:00:00,2015-12-11,2015,12,11,20,81.7,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 21:00:00,2015-12-11,2015,12,11,21,75,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 22:00:00,2015-12-11,2015,12,11,22,77.6,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-11 23:00:00,2015-12-11,2015,12,11,23,93.7,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 00:00:00,2015-12-12,2015,12,12,0,87.1,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 01:00:00,2015-12-12,2015,12,12,1,91.4,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 02:00:00,2015-12-12,2015,12,12,2,78.2,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 03:00:00,2015-12-12,2015,12,12,3,85.3,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 04:00:00,2015-12-12,2015,12,12,4,93.6,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 05:00:00,2015-12-12,2015,12,12,5,109.6,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 06:00:00,2015-12-12,2015,12,12,6,102.7,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 07:00:00,2015-12-12,2015,12,12,7,122,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 08:00:00,2015-12-12,2015,12,12,8,122.2,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 09:00:00,2015-12-12,2015,12,12,9,104,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 10:00:00,2015-12-12,2015,12,12,10,104.3,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 11:00:00,2015-12-12,2015,12,12,11,111.9,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 12:00:00,2015-12-12,2015,12,12,12,111.6,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 13:00:00,2015-12-12,2015,12,12,13,126.3,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 14:00:00,2015-12-12,2015,12,12,14,112,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 15:00:00,2015-12-12,2015,12,12,15,136.4,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 16:00:00,2015-12-12,2015,12,12,16,124.1,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 17:00:00,2015-12-12,2015,12,12,17,127,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-12 18:00:00,2015-12-12,2015,12,12,18,127.1,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
